source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
34,bars,4-3-111,2266.0818713450294,342.0,8.0,8.0,9.0,4.0,0,0,1,1,1,1,0,1,44.50384769146143,40.19855807840442,0,1,0,0,1,0,0,0
35,bars,4-3-93,1068.1818181818182,220.0,7.0,4.0,4.0,3.0,0,0,0,1,0,1,0,0,44.48842560030741,40.19502146089586,0,1,0,0,1,0,0,0
36,bars,4-3-23,1818.1818181818182,110.0,4.0,3.0,5.0,2.0,0,1,0,1,0,1,0,0,44.52473536231635,40.20625843913501,0,1,0,0,1,0,0,0
37,bars,4-2-151,1562.5,80.0,2.0,14.0,16.0,1.0,0,0,0,0,0,0,0,0,44.49978402004816,40.19794363418706,0,0,1,0,0,1,0,0
38,bars,4-1-27,1935.483870967742,46.5,1.0,2.0,7.0,1.0,0,0,0,0,0,0,0,0,44.57251521346963,40.21266289465016,0,1,0,0,1,0,0,0
39,bars,4-3-1426,1592.9203539823009,113.0,4.0,3.0,5.0,2.0,0,0,0,1,1,1,0,0,44.4972968,40.20489739999999,0,0,0,1,1,0,0,0
40,bars,4-3-1428,1857.142857142857,84.0,3.0,8.0,14.0,1.0,0,0,0,1,0,0,0,1,44.491346750379165,40.19366433254226,0,0,1,0,0,0,0,1
41,bars,1-N-428,2975.206611570248,121.0,4.0,11.0,13.0,2.0,1,0,0,0,1,0,0,1,44.499472776670245,40.180107053322125,0,1,0,0,0,1,0,0
42,bars,4-3-1396,2865.6716417910447,67.0,3.0,7.0,14.0,1.0,0,1,0,0,1,1,0,1,44.499155086504345,40.19562050194883,0,1,0,0,1,0,0,0
43,bars,1-3-2131,3055.5555555555557,108.0,4.0,2.0,5.0,2.0,0,0,0,1,1,1,0,0,44.51642634119875,40.18161375666288,0,0,0,1,0,1,0,0
44,bars,1-3-1838,2830.188679245283,265.0,5.0,4.0,5.0,3.0,0,0,0,1,1,1,0,0,44.5215976,40.18607885,0,1,0,0,1,0,0,0
45,bars,4-2-205,1779.6610169491526,59.0,2.0,1.0,14.0,1.0,0,1,0,0,0,1,0,1,44.48897174994312,40.20145330939894,0,0,1,0,1,0,0,0
46,bars,4-3-1424,3518.5185185185187,81.0,3.0,6.0,10.0,2.0,0,1,0,1,1,1,0,1,44.4979285663246,40.20385877909912,0,1,0,0,1,0,0,0
47,bars,4-3-1423,2484.848484848485,165.0,5.0,8.0,8.0,4.0,1,0,0,0,1,0,0,1,44.52141545745753,40.160291821818525,0,1,0,0,0,1,0,0
48,bars,4-3-1421,1989.6907216494844,97.0,3.0,5.0,8.0,2.0,1,0,0,0,0,0,0,1,44.52141545745753,40.160291821818525,0,1,0,0,0,1,0,0
49,bars,4-3-1420,2481.4814814814813,81.0,3.0,5.0,8.0,2.0,1,0,0,0,1,0,0,1,44.52141545745753,40.160291821818525,0,1,0,0,0,1,0,0
50,bars,4-2-157,2636.3636363636365,110.0,4.0,5.0,7.0,2.0,1,0,0,0,1,0,0,1,44.50164222859443,40.19625902492543,0,1,0,0,0,1,0,0
51,bars,4-2-204,1466.6666666666667,75.0,2.0,3.0,9.0,1.0,0,0,0,1,1,1,0,1,44.4972968,40.20489739999999,0,0,0,1,0,0,0,1
52,bars,6-Sh2-50,2386.3636363636365,44.0,2.0,10.0,12.0,1.0,0,1,0,0,0,1,0,1,44.47162875,40.14904435,1,0,0,0,1,0,0,0
53,bars,1-DH-10,3200.0,206.75,4.0,5.0,8.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
54,bars,1-DH-11,3200.0,166.85,4.0,5.0,8.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
55,bars,1-DH-12,3500.0,169.1,4.0,6.0,8.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
56,bars,1-DH-21,3000.0,176.1,4.0,3.0,8.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
57,bars,1-DH-20,3100.0,179.2,5.0,3.0,5.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
58,bars,1-DH-25,3300.0,169.2,4.0,5.0,5.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
59,bars,1-DH-8,3301.5827338129498,208.5,4.0,5.0,5.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
60,bars,1-DH-27,3499.9999999999995,148.3,4.0,6.0,8.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
61,bars,1-DH-15,3238.2963745160155,710.25,7.0,8.0,8.0,5.0,1,0,1,0,1,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
62,bars,1-DH-22,3200.0,208.65,5.0,4.0,5.0,2.0,1,0,1,0,0,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,0,1,0,0
63,bars,1-N-43,2866.2420382165606,157.0,4.0,6.0,6.0,2.0,0,0,1,0,0,1,0,1,44.5247969,40.17890785,0,1,0,0,1,0,0,0
64,bars,4-3-1382,2404.5801526717555,131.0,4.0,5.0,7.0,2.0,1,0,0,0,1,1,0,1,44.52141545745753,40.160291821818525,0,1,0,0,0,1,0,0
65,bars,4-3-1419,3000.0,90.0,3.0,4.0,9.0,2.0,0,0,0,0,0,1,0,1,44.50164222859443,40.19625902492543,0,1,0,0,1,0,0,0
66,bars,1-3-2627,3663.265306122449,98.0,4.0,2.0,5.0,1.0,0,1,0,0,0,1,0,0,44.51548071604492,40.19013906690871,0,0,0,1,1,0,0,0
67,bars,4-3-1418,2318.181818181818,110.0,3.0,2.0,5.0,2.0,0,1,0,0,0,1,0,1,44.50603348930943,40.19194689069822,0,1,0,0,1,0,0,0
68,bars,1-3-2003,2333.3333333333335,180.0,4.0,4.0,4.0,2.0,0,0,0,1,1,0,0,0,44.5215976,40.18607885,0,1,0,0,1,0,0,0
69,bars,6-Ach3-124,1513.157894736842,76.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.4684631,40.199323,0,0,0,1,1,0,0,0
70,bars,1-3-2097,2934.782608695652,92.0,3.0,6.0,8.0,2.0,0,0,0,1,1,1,0,1,44.505052000470215,40.183781674798254,0,1,0,0,1,0,0,0
71,bars,1-A-122,4483.870967741936,155.0,4.0,4.0,6.0,3.0,0,1,0,0,1,1,0,1,44.50523170804844,40.19493042144863,0,1,0,0,1,0,0,0
72,bars,4-3-1416,1780.0,100.0,3.0,5.0,5.0,1.0,0,0,0,1,1,1,0,0,44.509269992836,40.20967865714541,0,0,0,1,1,0,0,0
73,bars,1-N-415,4178.571428571428,140.0,4.0,5.0,16.0,3.0,1,0,0,0,0,0,0,1,44.50439786901182,40.18091474247,0,1,0,0,0,1,0,0
74,bars,1-3-2084,4186.046511627907,86.0,3.0,4.0,4.0,1.0,0,0,0,1,1,1,0,0,44.52381655212627,40.19066524195801,0,0,0,1,1,0,0,0
75,bars,4-3-1415,2071.4285714285716,70.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.51872985,40.20413115,0,1,0,0,1,0,0,0
