,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Elevator,F_Furniture,F_Heating System,F_Security,F_Internet,F_Balcony,F_Air Conditioner,latitude,longitude
45,myrealty,142583,235000,76,2,3,10,Panel,New/Excellent Condition,1,0,1,1,1,0,0,0,1,44.505052000470215,40.183781674798254
46,myrealty,142581,95000,62,2,11,12,Monolit,Good Condition,1,1,1,0,1,0,0,0,0,44.46783642958279,40.19156890671495
47,myrealty,142580,80000,40,1,8,14,Panel,Good Condition,1,0,1,1,0,0,0,0,0,44.51344849450384,40.1767382062846
48,myrealty,142579,120000,38,1,4,5,Stone,New/Excellent Condition,1,0,0,1,0,0,0,0,1,44.52011953345346,40.17752762983332
49,myrealty,142578,165000,106,4,14,14,Panel,Good Condition,1,0,1,0,0,0,0,0,0,44.499155086504345,40.19562050194883
50,myrealty,142577,130000,80,3,13,14,Panel,Good Condition,1,0,1,0,1,0,0,1,0,44.52473536231635,40.20625843913501
51,myrealty,142556,110000,76,4,2,6,Stone,Good Condition,1,0,0,1,1,0,1,1,0,44.457979422619005,40.17534841784899
52,myrealty,142552,265000,105,3,4,5,Stone,New/Excellent Condition,2,0,0,1,1,0,1,1,1,44.52473536231635,40.20625843913501
53,myrealty,142547,53351,32,1,4,4,Stone,Good Condition,1,0,0,0,0,0,1,0,0,44.474392138424626,40.198846692958135
54,myrealty,142546,140000,37,1,2,6,Stone,New/Excellent Condition,1,0,0,1,0,0,0,0,1,44.525275644939626,40.18489525304254
55,myrealty,142541,125000,80,3,8,9,Panel,New/Excellent Condition,1,0,1,1,1,0,1,0,1,44.53061570081314,40.128877761326684
56,myrealty,142533,339000,100,3,2,6,Stone,New/Excellent Condition,2,0,0,1,1,0,1,0,1,44.517821617617976,40.177431841441944
57,myrealty,142530,295000,86,3,4,6,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.50523170804844,40.19493042144863
58,myrealty,142529,90000,76,3,5,5,Stone,New/Excellent Condition,1,0,0,1,1,0,0,0,0,44.437979600000006,40.173225450000004
59,myrealty,142528,100000,77,3,9,9,Panel,New/Excellent Condition,1,0,1,1,1,0,1,1,1,44.47141904225626,40.14899286446672
60,myrealty,142527,158000,71,3,12,14,Panel,New/Excellent Condition,1,0,1,1,1,0,1,0,1,44.51344849450384,40.1767382062846
61,myrealty,142526,145000,95,5,1,3,Stone,New/Excellent Condition,1,0,0,1,1,0,1,1,0,44.48805998349331,40.17599452142183
62,myrealty,142521,190000,85,3,8,10,Panel,New/Excellent Condition,1,0,1,1,1,0,1,0,1,44.51488777979646,40.16624129129846
63,myrealty,142518,87000,44,2,1,4,Stone,New/Excellent Condition,1,0,0,0,1,0,0,1,0,44.51344849450384,40.1767382062846
64,myrealty,142517,82000,40,2,1,4,Stone,New/Excellent Condition,1,0,0,0,1,0,0,0,0,44.50905795104563,40.15661646921138
65,myrealty,142516,230107,100,3,5,5,Stone,Good Condition,1,0,0,0,1,0,1,0,1,44.525275644939626,40.18489525304254
66,myrealty,142508,150000,80,3,2,5,Stone,Good Condition,1,0,0,1,1,0,1,0,0,44.499155086504345,40.19562050194883
67,myrealty,142504,105000,80,3,1,5,Stone,New/Excellent Condition,1,0,0,0,1,0,1,1,0,44.468463099999994,40.199323
68,myrealty,142500,295,86,3,4,6,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.50523170804844,40.19493042144863
69,myrealty,142499,300000,97,3,6,15,Monolit,New/Excellent Condition,2,1,0,0,0,0,0,0,0,44.519048808509375,40.177015330930764
70,myrealty,142489,355000,106,3,5,5,Stone,New/Excellent Condition,2,0,0,0,0,0,0,0,0,44.51181945133735,40.183313571671
71,myrealty,142480,860000,120,3,6,10,Monolit,New/Excellent Condition,2,0,1,1,0,0,1,0,1,44.511512091954756,40.17739277146087
