,source,id,price,area,rooms,floor,storeys,building_type,latitude,longitude,new_building,condition,bathroom_count,F_Security,F_Elevator,F_Heating System,F_Internet,F_Balcony,F_Furniture,F_Air Conditioner
175,bnakaran,d117682,130000.0,40,2,2,5,Monolit,44.515102096538,40.169279922988,1,Good Condition,1,0,0,0,0,0,0,0
176,bnakaran,d115650,260000.0,65,2,14,16,Monolit,44.505586252639,40.184967516543,1,Good Condition,1,0,0,0,0,0,0,1
177,bnakaran,d91689,300000.0,130,3,7,12,Monolit,44.509669118925,40.206320888981,1,Good Condition,2,0,0,0,0,0,0,0
178,bnakaran,d42339,240000.0,109,3,10,16,Monolit,44.516680598281,40.203909758636,1,Good Condition,2,0,0,0,0,0,0,1
179,bnakaran,d89523,1300000.0,160,4,6,10,Monolit,44.514216529933,40.181219115559,1,New/Excellent Condition,2,1,0,0,0,0,0,1
180,bnakaran,d117910,470000.0,100,3,3,5,Stone,44.512879,40.17787,0,Good Condition,2,0,0,0,0,0,0,1
181,bnakaran,d108176,3000.0,145,3,9,12,Monolit,44.514983144843,40.182035825924,1,Good Condition,2,1,0,0,0,0,0,1
182,bnakaran,d117911,75000.0,67,2,10,10,Other,44.512879,40.17787,0,Good Condition,0,0,0,0,0,0,0,1
183,bnakaran,d111713,1800.0,60,2,11,18,Monolit,44.509842,40.18046,1,Good Condition,1,0,0,0,0,0,0,1
184,bnakaran,d117900,400000.0,151,5,3,5,Stone,44.499085710311,40.197921320088,0,Good Condition,2,0,0,0,0,0,0,0
185,bnakaran,d108949,117000.0,84,3,4,5,Stone,44.469027287032,40.208844098202,0,Good Condition,1,0,0,0,0,0,0,1
186,bnakaran,d117434,1300000.0,160,4,6,10,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
187,bnakaran,d117915,297000.0,122,3,8,15,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
188,bnakaran,d116788,205000.0,71,3,2,5,Stone,44.502351235442,40.179513738459,0,Good Condition,1,0,0,0,0,0,0,1
189,bnakaran,d117390,143000.0,77,3,2,9,Panel,44.487247283293,40.221408669649,0,New/Excellent Condition,1,0,0,0,0,0,0,1
190,bnakaran,d97606,235000.0,43,1,5,15,Monolit,44.511365082973,40.179825070883,1,Good Condition,1,1,0,0,0,0,0,1
191,bnakaran,d117913,130000.0,85,3,5,5,Stone,44.482444305557,40.152102284194,0,Good Condition,1,0,0,0,0,0,0,1
192,bnakaran,d103247,340000.0,150,4,3,18,Monolit,44.516460324081,40.203668475571,1,Good Condition,2,1,0,0,0,0,0,1
193,bnakaran,d114919,1200000.0,158,3,8,14,Monolit,44.514613,40.182121,0,Good Condition,3,0,0,0,0,0,0,1
194,bnakaran,d117898,95000.0,45,2,9,9,Panel,44.52404023677,40.201478401927,0,New/Excellent Condition,1,0,0,1,0,0,0,1
195,bnakaran,d116568,290000.0,91,3,3,5,Stone,44.503936191663,40.177470391035,0,Good Condition,0,0,0,0,0,0,0,0
196,bnakaran,d116762,230000.0,39,2,3,22,Monolit,44.509842,40.18046,1,Good Condition,1,0,0,0,0,0,0,1
197,bnakaran,d116950,110000.0,98,3,4,4,Stone,44.512879,40.17787,0,Good Condition,1,0,0,0,0,0,0,1
198,bnakaran,d97802,145000.0,72,3,5,10,Panel,44.515729903375,40.168955491541,0,Good Condition,1,0,0,0,0,0,0,0
199,bnakaran,d115472,105000.0,42,2,2,10,Other,44.503449695768,40.196814778967,0,Good Condition,1,0,0,0,0,0,0,1
200,bnakaran,d115059,620000.0,190,4,5,9,Monolit,44.496872966931,40.201861771652,1,Good Condition,3,0,0,0,0,0,0,1
201,bnakaran,d111754,1450.0,102,3,4,5,Stone,44.515951037429,40.190019218044,0,Good Condition,2,0,0,0,0,0,0,0
202,bnakaran,d113972,2500.0,110,3,5,8,Monolit,44.514956322754,40.182565368379,1,New/Excellent Condition,2,0,0,0,0,0,0,1
203,bnakaran,d114804,1600.0,60,2,17,18,Monolit,44.509842,40.18046,1,Good Condition,1,0,0,0,0,0,0,0
204,bnakaran,d115389,1450.0,62,2,4,14,Monolit,44.511901855469,40.181198120117,1,Good Condition,1,0,0,0,0,0,0,0
205,bnakaran,d115844,3500.0,370,5,8,9,Monolit,44.51287,40.181267,1,Good Condition,3,0,0,0,0,0,0,0
206,bnakaran,d117909,150000.0,74,3,2,9,Panel,44.494899749756,40.192501068115,0,Good Condition,1,0,0,0,0,0,0,1
207,bnakaran,d116789,85000.0,34,2,12,14,Panel,44.50984318518,40.206442360475,0,New/Excellent Condition,1,0,0,0,0,0,0,0
208,bnakaran,d115274,290000.0,126,4,8,8,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,0,0,0,0,0,0,1
209,bnakaran,d115972,1200.0,45,2,2,5,Stone,44.524898529053,40.178100585938,0,Good Condition,1,0,0,0,0,0,0,0
210,bnakaran,d116267,3000.0,260,5,10,12,Monolit,44.52135,40.187977,1,Good Condition,3,0,0,0,0,0,0,1
211,bnakaran,d116401,1650.0,56,2,3,4,Stone,44.514335334869,40.180801910233,0,Good Condition,1,0,0,0,0,0,0,0
212,bnakaran,d116798,1200.0,103,3,3,5,Stone,44.502899169922,40.177200317383,0,Good Condition,2,0,0,0,0,0,0,0
213,bnakaran,d117568,1400.0,44,1,2,9,Panel,44.521673,40.178524,0,New/Excellent Condition,1,0,0,0,0,0,0,0
