source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,opera,malibu,aua,zvartnoc,dalma,yerevan_mall,shumyan_cemetery,nork_cemetery,central_cemetery,davtashen_cemetery,zeytun_cemetery,yerablur,avan_cemetery,baghramyan_subway,shengavit_subway,barekamutyun_subway,yeritasardakan_subway,zoravar_subway,sasunci_subway,gorcarain_subway,gergin_subway,charbakh_subway,avan,massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,127952,310000.0,76.0,3.0,5.0,5.0,1.0,0,0,0,1,0,1,1,0,44.51548071604492,40.19013906690871,0,0,0,1,0,0,1,0,"(40.19013906690871, 44.51548071604492)",461,1012,970,10637,2602,4067,5109,2675,4805,4913,3600,6267,5284,2005,5623,1894,574,2122,4014,5640,5236,6679,6531,5368,9,4,12,0,1,1,5,1,0,2,0,0,1,3,0,0,0,0
bnakaran,d114569,100000.0,45.0,2.0,5.0,9.0,1.0,0,0,0,1,0,0,0,0,44.501473578047,40.197459365825,0,0,1,0,0,0,1,0,"(40.197459365825, 44.501473578047)",1720,1694,614,9940,2321,4677,3843,3883,6085,3531,4148,5864,6152,653,5991,550,2002,3055,4789,6274,5483,6825,7286,6335,6,6,5,4,5,0,2,1,1,1,0,0,0,0,0,0,0,0
bnakaran,d117798,75937.5,45.0,2.0,2.0,4.0,1.0,0,0,0,0,0,0,0,0,44.513444593917,40.165910377504,0,0,0,1,0,0,1,0,"(40.165910377504, 44.513444593917)",2238,1962,3046,9716,2580,1605,6034,4119,2739,7077,5875,5135,6982,3863,3308,3788,2322,600,1366,3034,3141,4581,8313,2697,0,9,4,3,2,4,4,0,1,2,1,0,0,1,0,2,0,0
bars,4-3-1162,275000.0,97.0,3.0,15.0,16.0,2.0,0,1,0,1,1,1,0,1,44.48842560030741,40.19502146089586,0,1,0,0,1,0,0,0,"(40.19502146089586, 44.48842560030741)",2477,2128,1392,8852,1770,4523,2755,4963,6524,3274,5275,4938,7293,517,5575,600,2846,3327,4767,6061,4997,6220,8423,6419,10,6,4,2,15,4,4,0,0,2,0,0,4,0,0,1,0,0
myrealty,137560,197000.0,55.0,2.0,2.0,5.0,1.0,1,1,0,1,0,1,1,0,44.50523170804844,40.19493042144863,1,0,0,0,0,0,1,0,"(40.19493042144863, 44.50523170804844)",1298,1340,285,10082,2264,4413,4176,3537,5680,3947,3987,5899,5915,1005,5800,894,1577,2701,4487,6014,5321,6700,7086,5995,1,0,1,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0
bnakaran,d116333,300000.0,129.0,4.0,6.0,8.0,2.0,1,0,0,0,0,0,0,0,44.522924084656,40.213436935609,1,0,0,0,1,0,0,0,"(40.213436935609, 44.522924084656)",3122,3608,2813,12424,4811,6728,5915,3060,7095,4043,1979,8408,4189,3060,8244,2995,3038,4782,6677,8306,7810,9218,5101,7965,2,1,2,0,0,3,2,0,1,3,0,0,0,0,0,2,0,0
myrealty,141561,201000.0,153.0,5.0,1.0,6.0,3.0,0,0,0,0,0,0,0,0,44.52706263472466,40.205140244623664,0,0,0,1,0,0,1,0,"(40.205140244623664, 44.52706263472466)",2358,2941,2383,12253,4374,5973,6066,2164,6125,4696,1817,8046,3857,2960,7556,2869,2191,3978,5868,7521,7172,8611,4954,7074,0,2,3,1,3,5,4,0,1,3,2,1,2,3,0,0,0,0
bnakaran,d57467,400000.0,160.0,3.0,3.0,8.0,1.0,1,0,0,1,0,0,0,0,44.515078825082,40.183150782279,1,0,0,0,0,0,1,0,"(40.183150782279, 44.515078825082)",316,602,1370,10322,2305,3325,5267,2899,4127,5498,4195,5850,5682,2393,4923,2291,531,1349,3244,4882,4576,6034,6972,4593,18,6,32,3,5,7,12,1,0,5,0,1,1,2,0,2,0,0
bnakaran,d91884,50750.0,58.0,2.0,2.0,4.0,1.0,0,0,0,0,0,0,0,0,44.505501773856,40.18667285826,0,0,0,1,1,0,0,0,"(40.18667285826, 44.505501773856)",817,453,646,9706,1674,3503,4373,3572,4895,4722,4490,5348,6216,1540,4934,1447,1222,1809,3568,5103,4487,5899,7459,5090,1,2,4,4,2,4,1,1,1,1,1,0,0,1,0,2,0,0
myrealty,124690,450000.0,128.0,3.0,4.0,6.0,2.0,1,1,1,1,0,1,1,1,44.505052000470215,40.183781674798254,1,0,0,0,0,0,1,0,"(40.183781674798254, 44.505052000470215)",887,262,962,9548,1502,3179,4441,3684,4660,4983,4730,5140,6390,1776,4619,1692,1288,1522,3249,4780,4182,5603,7651,4785,3,3,6,3,2,6,4,2,1,2,1,1,1,2,0,0,0,0
