source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,opera,malibu,aua,zvartnoc,dalma,yerevan_mall,shumyan_cemetery,nork_cemetery,central_cemetery,davtashen_cemetery,zeytun_cemetery,yerablur,avan_cemetery,baghramyan_subway,shengavit_subway,barekamutyun_subway,yeritasardakan_subway,zoravar_subway,sasunci_subway,gorcarain_subway,gergin_subway,charbakh_subway,avan,massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bars,1-3-1515,550000.0,209.0,5.0,4.0,4.0,3.0,0,0,0,0,0,0,0,0,44.517821617617976,40.17743184144194,0,1,0,0,1,0,0,0,"(40.17743184144194, 44.517821617617976)",980,1043,2017,10353,2501,2858,5713,2996,3460,6152,4579,5811,5855,3003,4522,2907,991,841,2695,4358,4247,5712,7172,3950,4,9,12,2,6,8,6,1,0,1,0,0,0,1,1,0,0,0
myrealty,122879,79500.0,30.0,1.0,5.0,5.0,1.0,0,0,0,0,0,0,0,0,44.514048989347714,40.1861605885798,0,0,0,1,1,0,0,0,"(40.1861605885798, 44.514048989347714)",90,619,1072,10356,2311,3609,5086,2877,4463,5177,4000,5932,5590,2117,5174,2011,495,1668,3557,5181,4798,6248,6861,4932,15,9,32,1,4,4,8,2,0,2,0,0,2,1,0,1,0,0
bnakaran,d117383,312000.0,99.0,3.0,4.0,4.0,1.0,0,0,0,0,0,0,0,0,44.508580830688,40.180067226186,0,0,0,1,1,0,0,0,"(40.180067226186, 44.508580830688)",860,336,1418,9689,1712,2827,4877,3541,4150,5489,4814,5203,6332,2286,4359,2201,1178,1029,2833,4417,3977,5426,7621,4318,11,7,24,6,2,9,9,3,0,1,1,2,2,3,0,3,0,0
bnakaran,d92779,104000.0,80.0,3.0,8.0,10.0,1.0,0,0,0,0,0,0,0,0,44.513401031494,40.188598632812,0,0,0,1,1,0,0,0,"(40.188598632812, 44.513401031494)",322,768,870,10407,2367,3850,4969,2874,4728,4929,3846,6026,5517,1923,5391,1815,611,1935,3817,5431,4997,6438,6769,5207,14,3,18,0,2,1,7,2,0,1,0,0,3,2,0,0,0,0
myrealty,141883,236000.0,83.0,3.0,5.0,7.0,2.0,1,1,0,1,0,1,1,1,44.53194205401087,40.16157204361941,1,0,0,0,0,0,1,0,"(40.16157204361941, 44.53194205401087)",3070,3138,4150,11217,4177,2759,7606,3695,1335,8285,5785,6661,6366,5122,4333,5029,2925,1993,2244,3632,4373,5691,7684,2487,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
bnakaran,d114691,429000.0,169.0,4.0,15.0,15.0,2.0,1,0,0,1,0,0,0,0,44.541173985457,40.20386880665,1,0,0,0,1,0,0,0,"(40.20386880665, 44.541173985457)",2975,3646,3367,13255,5256,6402,7242,1318,5904,5853,1045,8929,2707,4092,8066,3993,2669,4387,6193,7861,7760,9222,3890,7166,0,4,2,2,3,3,5,0,1,2,0,0,0,0,0,1,0,0
myrealty,142645,159000.00000000003,70.0,2.0,2.0,5.0,1.0,1,0,0,0,0,0,0,0,44.50523170804844,40.19493042144863,1,0,0,0,0,1,0,0,"(40.19493042144863, 44.50523170804844)",1298,1340,285,10082,2264,4413,4176,3537,5680,3947,3987,5899,5915,1005,5800,894,1577,2701,4487,6014,5321,6700,7086,5995,1,0,1,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0
bnakaran,d117303,159000.0,106.0,3.0,8.0,8.0,2.0,1,0,0,0,0,0,0,0,44.522911626983,40.213238657146,1,0,0,0,0,0,1,0,"(40.213238657146, 44.522911626983)",3100,3587,2794,12411,4792,6707,5908,3045,7074,4048,1979,8392,4188,3047,8223,2981,3016,4760,6655,8284,7790,9198,5105,7943,2,1,2,0,0,4,2,0,1,4,0,0,0,0,0,2,0,0
bnakaran,d116513,490000.00000000006,105.0,3.0,3.0,10.0,2.0,1,0,0,1,0,0,0,0,44.512825899475,40.182836337675,1,0,0,0,0,0,1,0,"(40.182836337675, 44.512825899475)",400,411,1281,10130,2111,3225,5097,3090,4195,5416,4344,5663,5863,2276,4799,2178,707,1292,3176,4797,4435,5889,7150,4573,9,9,20,4,4,8,9,4,0,4,0,1,1,3,0,4,0,0
bnakaran,d112991,110000.0,43.0,2.0,3.0,10.0,2.0,0,0,0,1,0,0,0,0,44.5064375238,40.206337721309,0,0,1,0,0,0,1,0,"(40.206337721309, 44.5064375238)",2377,2591,1555,10821,3391,5686,4361,3742,6763,3119,3444,6878,5586,1476,7050,1424,2512,3935,5752,7287,6551,7899,6613,7232,2,1,3,5,2,6,3,0,3,2,0,0,0,1,0,1,0,0
